 frequency       vdb(vds_fr)    
 1.00000000e+00  1.89755995e+01 
 1.02329299e+00  1.89755995e+01 
 1.04712855e+00  1.89755995e+01 
 1.07151931e+00  1.89755995e+01 
 1.09647820e+00  1.89755995e+01 
 1.12201845e+00  1.89755995e+01 
 1.14815362e+00  1.89755995e+01 
 1.17489755e+00  1.89755995e+01 
 1.20226443e+00  1.89755995e+01 
 1.23026877e+00  1.89755995e+01 
 1.25892541e+00  1.89755995e+01 
 1.28824955e+00  1.89755995e+01 
 1.31825674e+00  1.89755995e+01 
 1.34896288e+00  1.89755995e+01 
 1.38038426e+00  1.89755995e+01 
 1.41253754e+00  1.89755995e+01 
 1.44543977e+00  1.89755995e+01 
 1.47910839e+00  1.89755995e+01 
 1.51356125e+00  1.89755995e+01 
 1.54881662e+00  1.89755995e+01 
 1.58489319e+00  1.89755995e+01 
 1.62181010e+00  1.89755995e+01 
 1.65958691e+00  1.89755995e+01 
 1.69824365e+00  1.89755995e+01 
 1.73780083e+00  1.89755995e+01 
 1.77827941e+00  1.89755995e+01 
 1.81970086e+00  1.89755995e+01 
 1.86208714e+00  1.89755995e+01 
 1.90546072e+00  1.89755995e+01 
 1.94984460e+00  1.89755995e+01 
 1.99526231e+00  1.89755995e+01 
 2.04173794e+00  1.89755995e+01 
 2.08929613e+00  1.89755995e+01 
 2.13796209e+00  1.89755995e+01 
 2.18776162e+00  1.89755995e+01 
 2.23872114e+00  1.89755995e+01 
 2.29086765e+00  1.89755995e+01 
 2.34422882e+00  1.89755995e+01 
 2.39883292e+00  1.89755995e+01 
 2.45470892e+00  1.89755995e+01 
 2.51188643e+00  1.89755995e+01 
 2.57039578e+00  1.89755995e+01 
 2.63026799e+00  1.89755995e+01 
 2.69153480e+00  1.89755995e+01 
 2.75422870e+00  1.89755995e+01 
 2.81838293e+00  1.89755995e+01 
 2.88403150e+00  1.89755995e+01 
 2.95120923e+00  1.89755995e+01 
 3.01995172e+00  1.89755995e+01 
 3.09029543e+00  1.89755995e+01 
 3.16227766e+00  1.89755995e+01 
 3.23593657e+00  1.89755995e+01 
 3.31131121e+00  1.89755995e+01 
 3.38844156e+00  1.89755995e+01 
 3.46736850e+00  1.89755995e+01 
 3.54813389e+00  1.89755995e+01 
 3.63078055e+00  1.89755995e+01 
 3.71535229e+00  1.89755995e+01 
 3.80189396e+00  1.89755995e+01 
 3.89045145e+00  1.89755995e+01 
